#Thu Aug 30 19:45:37 EDT 2018
DangerZone\:Bucket=175
DangerZone\:Durability\ Scroll\ IV=227
DangerZone\:Charcoal\ Stick=182
DangerZone\:Stone\ Hoe=10
DangerZone\:Squeak\ Toy=51
DangerZone\:Drone=237
DangerZone\:Silver\ Sword=21
DangerZone\:Spawn\ Gosling=112
DangerZone\:Spam\ Scroll\ V=234
DangerZone\:Durability\ Scroll\ II=217
DangerZone\:Experience=165
DangerZone\:Moose\ Head=155
DangerZone\:Spawn\ Fish=121
DangerZone\:Copper\ Axe=13
DangerZone\:Spawn\ Snarler=130
DangerZone\:Ghost\ Trophy=78
DangerZone\:Spam\ Scroll\ I=214
DangerZone\:Spawn\ Anteater=116
DangerZone\:Rat\ Trophy=76
DangerZone\:Bullet\ Bat\ Trophy=99
DangerZone\:Speed\ 3=190
DangerZone\:Goose\ Trophy=80
DangerZone\:Spawn\ Skeletorus=115
DangerZone\:Speed\ 2=188
DangerZone\:Speed\ 1=186
DangerZone\:Apple=68
DangerZone\:Sunstone=41
DangerZone\:Feather=167
DangerZone\:Raw\ Goose=59
DangerZone\:Wooden\ Shovel=4
DangerZone\:Butter=73
DangerZone\:Confusion\ 3=206
DangerZone\:Raw\ Ostrich=61
DangerZone\:Confusion\ 2=205
DangerZone\:Confusion\ 1=204
DangerZone\:Spawn\ Puffer\ Fish=123
DangerZone\:Dead\ Stick\ Fish=52
DangerZone\:Spawn\ Fire=171
DangerZone\:Silver=33
DangerZone\:Paper=185
DangerZone\:Ostrich\ Trophy=82
DangerZone\:Puffer\ Fish\ Trophy=93
DangerZone\:Stick=44
DangerZone\:Damage\ Scroll\ V=231
DangerZone\:Reach\ Scroll\ III=223
DangerZone\:Wooden\ Axe=3
DangerZone\:Spawn\ Werewolf=117
DangerZone\:Strength\ 3=196
DangerZone\:Weakness\ 3=197
DangerZone\:Strength\ 2=194
DangerZone\:Weakness\ 2=195
DangerZone\:Strength\ 1=192
DangerZone\:Weakness\ 1=193
DangerZone\:Silver\ Helmet=147
DangerZone\:Damage\ Scroll\ I=211
DangerZone\:Empty\ Bow=47
DangerZone\:Copper\ Hoe=15
DangerZone\:Arrow=45
DangerZone\:Sparklemuffin\ Trophy=83
DangerZone\:Piranah\ Trophy=96
DangerZone\:Tin\ Pickaxe=17
DangerZone\:Copper=31
DangerZone\:Spawn\ Eel=134
DangerZone\:Spawn\ Ghost\ Skelly=107
DangerZone\:Vampire\ Moose\ Trophy=89
DangerZone\:Stone\ Sword=6
DangerZone\:Milk\ Bucket=177
DangerZone\:String=174
DangerZone\:Bottle=164
DangerZone\:Platinum=34
DangerZone\:Tin\ Axe=18
DangerZone\:Silver\ Shovel=24
DangerZone\:Instability=161
DangerZone\:Heal\ Scroll=236
DangerZone\:Accuracy\ Scroll\ V=230
DangerZone\:Martian\ Trophy=100
DangerZone\:Platinum\ Axe=28
DangerZone\:Cheese=72
DangerZone\:Hammerhead\ Shark\ Trophy=104
DangerZone\:Cherry\ Pit=170
DangerZone\:Accuracy\ Scroll\ I=210
DangerZone\:Silver\ Axe=23
DangerZone\:Wooden\ Hoe=5
DangerZone\:Accuracy\ Scroll\ III=220
DangerZone\:Spawn\ Vampire=118
DangerZone\:Fish\ Trophy=90
DangerZone\:Shark\ Tooth=54
DangerZone\:Spawn\ Mermaid=135
DangerZone\:Wood\ Pulp=184
DangerZone\:Drone\ Camera=240
DangerZone\:Stone\ Shovel=9
DangerZone\:Platinum\ Coin=37
DangerZone\:Spawn\ Vixen=129
DangerZone\:Spawn\ Goose=111
DangerZone\:Spawn\ Martian=132
DangerZone\:Durability\ Scroll\ III=222
DangerZone\:Platinum\ Leggings=153
DangerZone\:Spawn\ Hammerhead\ Shark=136
DangerZone\:Tin\ Leggings=145
DangerZone\:Drop\ Stick=173
DangerZone\:Wood\ Chips=183
DangerZone\:Spawn\ VOLCANO\!\!\!=138
DangerZone\:Copper\ Helmet=139
DangerZone\:Vamire\ Teeth=160
DangerZone\:Diamond=38
DangerZone\:Cockroach\ Trophy=74
DangerZone\:Durability\ Scroll\ V=232
DangerZone\:Tin\ Hoe=20
DangerZone\:Spawn\ Cockroach=109
DangerZone\:Ghost\ Skelly\ Trophy=79
DangerZone\:Corn=56
DangerZone\:Durability\ Scroll\ I=212
DangerZone\:Regeneration\ 3=202
DangerZone\:Platinum\ Hoe=30
DangerZone\:Regeneration\ 2=200
DangerZone\:Regeneration\ 1=198
DangerZone\:Scuba\ Mask=156
DangerZone\:Tin\ Chestplate=144
DangerZone\:Copper\ Shovel=14
DangerZone\:Drone\ Motor=238
DangerZone\:Peach\ Pit=168
DangerZone\:Butterfly\ Fish\ Trophy=92
DangerZone\:Silver\ Hoe=25
DangerZone\:Moose\ Trophy=77
DangerZone\:Shark\ Fin=55
DangerZone\:Copper\ Boots=142
DangerZone\:Silver\ Coin=36
DangerZone\:Cooked\ Ostrich=62
DangerZone\:Damage\ Scroll\ III=221
DangerZone\:Spawn\ Minnow=126
DangerZone\:Spam\ Scroll\ IV=229
DangerZone\:Spawn\ Vampire\ Moose=120
DangerZone\:Reach\ Scroll\ IV=228
DangerZone\:Spawn\ Butterfly\ Fish=124
DangerZone\:Spawn\ Stick\ Fish=125
DangerZone\:Furball=159
DangerZone\:Platinum\ Boots=154
DangerZone\:Spam\ Scroll\ II=219
DangerZone\:Reach\ Scroll\ II=218
DangerZone\:Lightness=42
DangerZone\:Tower\ Defense\ Flag=50
DangerZone\:Bone=166
DangerZone\:Damage\ Scroll\ IV=226
DangerZone\:Morph\ 3=209
DangerZone\:Morph\ 2=208
DangerZone\:Morph\ 1=207
DangerZone\:Reach\ Scroll\ V=233
DangerZone\:Awful\ Gluten\ Free\ Bread=71
DangerZone\:Spawn\ Sparklemuffin=114
DangerZone\:Raw\ Meat=57
DangerZone\:Damage\ Scroll\ II=216
DangerZone\:Lava\ Bucket=178
DangerZone\:Vixen\ Trophy=97
DangerZone\:Darkness=43
DangerZone\:Copper\ Leggings=141
DangerZone\:Raw\ Fish=63
DangerZone\:Reach\ Scroll\ I=213
DangerZone\:Silver\ Leggings=149
DangerZone\:Wooden\ Sword=1
DangerZone\:Copper\ Sword=11
DangerZone\:Bow=46
DangerZone\:Spawn\ Desert\ Rain\ Frog=133
DangerZone\:Butterfly\ Trophy=75
DangerZone\:Desert\ Rain\ Frog\ Trophy=101
DangerZone\:Tin\ Boots=146
DangerZone\:Stone\ Pickaxe=7
DangerZone\:Spawn\ Piranah=127
DangerZone\:Spawn\ The\ Count=119
DangerZone\:Spawn\ Bullet\ Bat=131
DangerZone\:Large\ Instability=162
DangerZone\:Spawn\ Moose=110
DangerZone\:Spawn\ Cloud=137
DangerZone\:Platinum\ Sword=26
DangerZone\:Emerald=39
DangerZone\:Huge\ Instability=163
DangerZone\:Eel\ Trophy=102
DangerZone\:Apple\ Seed=169
DangerZone\:Gold\ Coin=35
DangerZone\:Harm\ Scroll=235
DangerZone\:Another\ Fish\ Trophy=91
DangerZone\:Werewolf\ Trophy=86
DangerZone\:Spawn\ Magic\ Frog=128
DangerZone\:Silver\ Chestplate=148
DangerZone\:Vampire\ Trophy=87
DangerZone\:Accuracy\ Scroll\ IV=225
DangerZone\:Spawn\ Ostrich=113
DangerZone\:Spawn\ Raft=48
DangerZone\:Snarler\ Trophy=98
DangerZone\:Spam\ Scroll\ III=224
DangerZone\:Minnow\ Trophy=95
DangerZone\:Stick\ Fish\ Trophy=94
DangerZone\:Cooked\ Meat=58
